,Intercept,Score,Coef
"1287.62, 1292.87",[0.00626948],0.40604212438188936,[[0.6450724]]
"1287.62, 1294.87",[0.00905111],0.4066647244325654,[[0.73715738]]
"1287.62, 1297.84",[0.02141888],0.2877703110840264,[[0.18443986]]
"1287.62, 1299.87",[0.0279059],0.2677211415479386,[[0.18041669]]
"1287.62, 1303.87",[0.00985142],0.2678763187711434,[[0.40874078]]
"1287.62, 1308.87",[0.0075328],0.21164571722712622,[[0.45457913]]
"1287.62, 1313.83",[0.01349649],0.38307215874318246,[[0.40942515]]
"1287.62, 1316.76",[0.013357],0.4308626350905139,[[0.24086587]]
"1287.62, 1318.87",[0.02867824],0.29354465887514347,[[0.27405446]]
"1287.62, 1323.84",[0.02681814],0.2446989305134597,[[0.14250308]]
"1287.62, 1326.71",[0.01848272],0.23025507032435197,[[0.04390089]]
"1287.62, 1330.24",[0.01465904],0.37971153967092974,[[0.08167198]]
"1287.62, 1330.79",[0.01572785],0.27198116191693,[[0.07146332]]
"1287.62, 1340.35",[0.05238436],0.21607665867796266,[[0.12774501]]
"1287.62, 1347.8",[0.00533462],0.2263640336559102,[[0.50601328]]
"1287.62, 1348.78",[0.00558944],0.7880017578995383,[[0.44834014]]
"1287.87, 1291.62",[0.02212613],0.21815045719102943,[[0.3468899]]
"1287.87, 1300.62",[0.02682042],0.29068822991575705,[[0.64238581]]
"1287.87, 1310.84",[0.00114284],0.5412380976695271,[[1.10308104]]
"1287.87, 1312.62",[0.01224647],0.3199850357255527,[[0.58418689]]
"1287.87, 1313.62",[0.02504224],0.3286102906490147,[[0.55906995]]
"1287.87, 1316.76",[0.01545328],0.2823127584788597,[[0.50857975]]
"1287.87, 1327.86",[0.01421314],0.3239940752857986,[[0.76666839]]
"1287.87, 1328.84",[0.01774399],0.3806790624757208,[[0.41150776]]
"1287.87, 1341.85",[0.00453549],0.3212418146810688,[[1.22087242]]
"1287.98, 1291.02",[0.00284632],0.4782141552153512,[[0.19757162]]
"1287.98, 1300.02",[0.13603854],0.2456099268890488,[[0.55629058]]
