,m/z,I,S/N,em,dbe,error,C,H,Class
21082,607.56709,12086258,64.3,607.5670844749001,2,5.52509993667627e-06,39,75,O4
21083,607.5828700000001,1651957,6.9,607.5823406149001,6,0.0005293850999805727,43,75,O1
21096,608.44722,7475345,38.9,608.4473036915,14,8.369149998088687e-05,42,58,O2N1
21098,608.46871,3392149,16.5,608.4684330603001,9,0.0002769396999156015,39,62,O4N1
21104,608.5199700000001,3237534,15.7,608.5200747091001,12,0.00010470910001458833,44,66,N1
21115,609.43116,2526532,11.8,609.4313192753,14,0.00015927530000681145,42,57,O3
21118,609.4677,2830667,13.4,609.4677047841,13,4.78409992865636e-06,43,61,O2
21124,609.52536,6233430,32.1,609.5252196617,7,0.00014033829995696578,41,69,O3
21127,609.56149,15752540,84.4,609.5616051705,6,0.00011517049995291018,42,73,O2
21129,609.58265,17673568,95.0,609.5827345393001,1,8.453930013274658e-05,39,77,O4
21130,609.59789,1671011,7.0,609.5979906793001,5,0.00010067930008972326,43,77,O1
21138,610.42651,1953276,8.6,610.4265682471,14,5.824710001434141e-05,41,56,O3N1
21141,610.4630900000001,10479106,55.5,610.4629537559,13,0.00013624410007651022,42,60,O2N1
21144,610.4843,6024711,31.0,610.4840831247001,8,0.0002168752998841228,39,64,O4N1
21148,610.52049,1534477,6.3,610.5204686335001,7,2.1366499936448236e-05,40,68,O3N1
21152,610.55709,1707028,7.2,610.5568541423,6,0.00023585769997680472,41,72,O2N1
21162,611.44718,3146425,15.2,611.4469693397,13,0.00021066030001293257,42,59,O3
21166,611.48343,2727360,12.9,611.4833548485,12,7.51515000274594e-05,43,63,O2
21169,611.50451,4001988,19.9,611.5044842173,7,2.5782699935916753e-05,40,67,O4
21171,611.5409400000001,9455307,49.8,611.5408697261,6,7.027390006442147e-05,41,71,O3
21177,611.57718,11171538,59.3,611.5772552349,5,7.523490000949096e-05,42,75,O2
21179,611.61373,3172057,15.3,611.6136407437001,4,8.925629992972972e-05,43,79,O1
21182,612.3847099999999,1563369,6.5,612.3847034339001,19,6.5660998416205985e-06,43,50,O2N1
21184,612.40614,1863277,8.1,612.4058328027,14,0.00030719730000328127,40,54,O4N1
21190,612.44219,1523060,6.2,612.4422183115,13,2.831150004567462e-05,41,58,O3N1
21192,612.45762,1897079,8.3,612.4574744515,17,0.00014554849997239216,45,58,N1
21194,612.47857,13920123,74.4,612.4786038203,12,3.3820300018305716e-05,42,62,O2N1
21197,612.49961,5054335,25.6,612.4997331891001,7,0.00012318910012254491,39,66,O4N1
21202,612.55115,2120585,9.5,612.5513748379001,10,0.00022483790007754578,44,70,N1
21213,613.40563,1715242,7.3,613.4051045265,18,0.0005254734999198263,44,53,O2
21217,613.46267,3353141,16.3,613.4626194041,12,5.0595900006555894e-05,42,61,O3
21221,613.49919,3562044,17.4,613.4990049129,11,0.0001850871000215193,43,65,O2
21223,613.52055,5576768,28.5,613.5201342817,6,0.0004157182999051656,40,69,O4
21226,613.5566299999999,11276359,59.8,613.5565197905,5,0.00011020949989415385,41,73,O3
21229,613.59291,11853902,63.0,613.5929052993,4,4.700699946624809e-06,42,77,O2
21231,614.40042,2879208,13.7,614.4003534983001,18,6.650169996191835e-05,43,52,O2N1
21239,614.4728299999999,1597430,6.6,614.4731245159,16,0.00029451590012286033,45,60,N1
