,Intercept,Score,Coef
"1321.29, 1324.02",[0.24322147],0.23384542044937784,[[-0.81542556]]
"1321.29, 1326.32",[0.21449672],0.37125863880869125,[[1.93256553]]
"1321.62, 1344.55",[0.01107075],0.21638255984666932,[[0.70644313]]
"1322.3, 1325.04",[0.05154913],0.380406118276305,[[-0.11487868]]
"1322.3, 1326.32",[0.07239744],0.7564758320817834,[[1.56399524]]
"1322.3, 1327.33",[0.00545645],0.42932085323502517,[[0.44483062]]
"1322.3, 1332.21",[0.02061084],0.25782784009565285,[[0.25889289]]
"1322.3, 1340.32",[0.03161453],0.5481932625103901,[[0.9782728]]
"1322.3, 1341.32",[0.02745027],0.5614433544396239,[[0.94070431]]
"1322.3, 1347.02",[0.94097756],0.2863728189746322,[[-1.30314844]]
"1323.02, 1325.04",[-0.00892683],0.22593459221922704,[[0.05517001]]
"1323.02, 1340.32",[0.2614375],0.26647390220812495,[[-0.11735075]]
"1323.02, 1342.32",[0.11434743],0.26258345293762486,[[-0.06446211]]
"1323.07, 1326.32",[0.51768085],0.576997361710844,[[-6.00920132]]
"1323.07, 1341.32",[0.27874997],0.44743244681132927,[[-3.15354112]]
"1323.07, 1347.02",[0.49271493],0.6475674959757907,[[8.32342744]]
"1323.07, 1348.02",[0.0927939],0.7454447086770518,[[3.19178387]]
"1323.31, 1327.33",[0.00844831],0.5154703839931134,[[0.50345774]]
"1323.31, 1338.3",[0.01443717],0.2991981365825641,[[0.20757395]]
"1323.31, 1347.02",[0.97272516],0.3817585643469318,[[-1.72164204]]
"1323.31, 1348.02",[0.27706681],0.40754780474087404,[[-0.58549661]]
"1323.31, 1349.03",[0.05710966],0.3947677625965492,[[-0.12833882]]
"1324.02, 1341.32",[0.24339318],0.2824847353222444,[[-0.43295744]]
"1325.04, 1340.32",[0.20895514],0.22772095193168918,[[-1.44601727]]
"1325.04, 1341.32",[0.20630146],0.20325802989249928,[[-1.80740949]]
"1325.04, 1348.02",[0.158711],0.46002281378496196,[[1.83648942]]
"1325.04, 1349.03",[0.02034131],0.5620196557588474,[[0.61274261]]
"1326.32, 1348.02",[0.28572588],0.28263453681760153,[[-0.27526312]]
"1326.32, 1349.03",[0.05831293],0.29622806748079267,[[-0.06800028]]
"1327.33, 1332.21",[0.01546614],0.21949701463546267,[[0.51318047]]
