x,y,score
499.23,516.22,0.820785225
529.24,572.24,0.820653367
432.22,475.23,0.8205045
458.2,470.2,0.820331531
428.19,431.2,0.820032336
501.21,542.23,0.819850385
446.2,461.21,0.819806469
499.19,527.22,0.819740603
459.23,475.23,0.819615538
444.22,447.2,0.819524029
416.19,418.17,0.819443604
445.22,529.24,0.819027137
470.2,516.22,0.818959575
454.21,457.22,0.818636515
430.21,472.22,0.818583798
388.16,416.19,0.818582907
445.18,461.18,0.818529861
473.21,542.23,0.818510267
445.18,461.21,0.818101784
416.19,544.25,0.818012234
416.19,501.21,0.817856154
442.17,487.19,0.817678848
501.21,586.26,0.817594195
443.2,461.21,0.817584197
445.22,501.21,0.81752581
444.22,459.23,0.817509718
503.22,572.24,0.817324338
445.22,457.22,0.81731885
485.21,516.22,0.817305608
418.17,487.19,0.817111562
472.22,517.24,0.816952121
421.13,493.15,0.816908779
461.21,517.24,0.816876088
499.19,544.25,0.81679889
444.22,445.18,0.816737684
419.2,445.22,0.816677432
457.18,499.19,0.816592276
442.17,586.26,0.816396596
428.15,430.17,0.81617321
416.19,430.21,0.816125019
470.2,543.25,0.815900953
400.16,442.17,0.815832518
472.22,511.23,0.815804007
485.21,598.26,0.815785182
442.17,598.26,0.815747925
471.2,497.21,0.815720697
416.15,416.19,0.815661581
442.17,473.21,0.815602469
432.22,461.21,0.815538135
528.22,572.24,0.815456071
511.23,598.26,0.815441084
430.17,443.2,0.815419991
416.15,445.18,0.815302618
511.23,586.26,0.815236831
431.2,487.19,0.815157553
416.19,431.2,0.814929901
513.21,556.25,0.814646931
443.2,542.23,0.814531843
458.2,542.23,0.814432562
542.23,598.26,0.814379529
499.23,503.22,0.814324272
499.19,516.22,0.814290133
416.19,429.19,0.814225131
487.23,598.26,0.81419084
499.23,572.24,0.814026994
416.15,513.21,0.813782294
445.22,487.19,0.813770526
487.19,529.24,0.813516477
430.17,445.22,0.813378862
457.18,472.22,0.81328475
443.2,530.23,0.813270284
439.12,465.14,0.81298109
428.19,472.22,0.812825015
428.19,499.19,0.81281639
459.23,530.23,0.812663199
424.16,457.18,0.812662666
400.16,513.21,0.812484779
487.23,572.24,0.812463418
444.22,544.25,0.812411229
499.19,542.23,0.812294302
471.2,529.24,0.812282973
497.21,513.21,0.812268515
429.19,544.25,0.811960918
445.18,473.21,0.811878813
443.2,444.22,0.811806468
445.18,499.23,0.811752607
445.18,586.26,0.81165329
470.2,511.23,0.811628038
446.2,529.24,0.811147963
458.2,528.22,0.811028733
502.24,544.25,0.810988902
443.2,459.23,0.810968438
416.15,418.17,0.810721053
431.2,461.21,0.810625033
443.2,516.22,0.810542098
487.23,502.24,0.810437326
388.16,389.18,0.810337204
429.19,502.24,0.810335401
457.22,514.24,0.81024659
446.2,460.22,0.810191342
429.19,528.22,0.809869131
446.2,501.21,0.809827487
412.16,428.19,0.809613587
387.16,388.16,0.809506137
457.18,529.24,0.809410718
446.2,527.22,0.809052772
456.22,457.22,0.808963788
428.19,470.2,0.808960873
459.23,501.24,0.808723469
472.22,473.21,0.808658423
459.23,544.25,0.808634889
459.23,472.22,0.808496349
430.21,529.24,0.808344776
472.22,502.24,0.808256034
388.16,513.21,0.808250298
483.2,529.24,0.808103612
457.18,586.26,0.807919164
428.19,446.2,0.807758951
499.19,528.22,0.80775477
544.25,572.24,0.807689033
394.3,409.27,0.80752982
444.22,461.21,0.807488083
445.22,461.21,0.806895943
443.2,486.2,0.806702136
416.19,528.22,0.80663437
513.24,528.25,0.806534672
