,L0_330_O,L0_330_H,L0_354_O,L0_354_H,L0_378_O,L0_378_H,L0_402_O,L0_402_H,L0_426_O,L0_426_H,L0_450_O,L0_450_H,L2_330_O,L2_330_H,L2_354_O,L2_354_H,L2_378_O,L2_378_H,L2_402_O,L2_402_H,L2_426_O,L2_426_H,L2_450_O,L2_450_H,L5_330_O,L5_330_H,L5_354_O,L5_354_H,L5_378_O,L5_378_H,L5_402_O,L5_402_H,L5_426_O,L5_426_H,L5_450_O,L5_450_H,L8_330_O,L8_330_H,L8_354_O,L8_354_H,L8_378_O,L8_378_H,L8_402_O,L8_402_H,L8_426_O,L8_426_H,L8_450_O,L8_450_H
135,,,,,0.125,1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,0.15384615384615385,1.8461538461538463,,,,,0.125,1.125,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.8666666666666667,,,0.15384615384615385,2.0,,,,,,
138,,,,,,,0.14285714285714285,1.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.125,,,,,,,,,,
139,,,,,0.11764705882352941,0.9411764705882353,,,,,,,,,,,0.13333333333333333,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,0.14285714285714285,1.0,,,,,,,,,0.13333333333333333,1.0666666666666667,,,,,,,,,,,0.13333333333333333,1.8666666666666667,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,2.0,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,0.125,1.75,,,,,0.15384615384615385,2.0,,,,,0.125,1.25,,,,,0.125,0.875,,,,,,,,,0.13333333333333333,2.0,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.25,,,,,,,,,,
146,,,,,0.125,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,0.8571428571428571
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.875,,,,,,,,,,,,
149,,,,,,,0.14285714285714285,1.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,0.11764705882352941,1.1764705882352942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,0.125,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.4285714285714286,,,,,,
156,,,,,,,0.13333333333333333,0.8,,,,,,,,,,,,,,,0.13333333333333333,1.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,0.11764705882352941,1.2941176470588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.0
161,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,2.0,,,,,,,,,,,,,,,,,,,,,,,0.15384615384615385,2.0
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.375,,,,,,,,,,
163,,,,,,,,,,,,,,,,,0.125,1.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,0.14285714285714285,1.2857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,0.14285714285714285,1.7142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.5,,,,,,,,,,
166,,,,,,,,,0.11764705882352941,0.9411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.5714285714285714,,,,,,
168,,,,,,,0.13333333333333333,0.9333333333333333,,,,,,,,,0.125,1.5,,,,,,,,,,,,,,,,,0.1111111111111111,0.6666666666666666,0.11764705882352941,0.8235294117647058,,,,,,,,,,
171,,,,,,,,,,,0.14285714285714285,1.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.625,,,,,,,,,,
172,,,,,0.11764705882352941,1.411764705882353,,,,,,,,,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,,,,,,0.11764705882352941,0.9411764705882353,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,0.11764705882352941,0.8235294117647058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,0.14285714285714285,1.8571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.75,,,,,,,,,,,,,,
177,,,,,,,,,0.125,1.875,,,,,,,0.125,1.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.75,,,,,,,,,,
180,,,,,0.11764705882352941,1.5294117647058822,,,,,,,,,,,,,,,0.125,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,0.13333333333333333,1.0666666666666667,,,,,,,,,0.11764705882352941,0.9411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.2857142857142858
182,,,,,,,,,,,0.14285714285714285,1.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,0.14285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.875,,,0.11764705882352941,1.0588235294117647,,,,,,,,,,
184,,,,,,,,,0.11764705882352941,1.1764705882352942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,0.125,1.75,,,,,,,,,,,,,,,,,,,0.125,1.875,,,0.13333333333333333,0.9333333333333333,,,,,,
