m/z,I,S/N,em,dbe,error,C,H,Class
617.47289,2851460,14.2,617.4727902,15,9.98E-05,45,61,O1
667.48758,1465179,6.1,667.4884402,18,0.000860229,49,63,O1
713.4737,18214434,101.3,713.4727902,23,0.000909836,53,61,O1
209.07454,1157322,7.4,209.0738664,5,0.000673649,12,14,O1Cl1
231.05823,1053057,6.2,231.0582163,8,1.37E-05,14,12,O1Cl1
235.08961,1155150,7,235.0895164,6,9.36E-05,14,16,O1Cl1
239.12083,1843845,12.7,239.1208165,4,1.35E-05,14,20,O1Cl1
241.13652,1482289,9.7,241.1364666,3,5.34E-05,14,22,O1Cl1
243.05828,2127783,14.9,243.0582163,9,6.37E-05,15,12,O1Cl1
245.07392,1940341,13.4,245.0738664,8,5.36E-05,15,14,O1Cl1
247.09022,1188208,7.2,247.0895164,7,0.000703585,15,16,O1Cl1
251.12088,1127007,6.6,251.1208165,5,6.35E-05,15,20,O1Cl1
253.13658,3052749,22.3,253.1364666,4,0.000113392,15,22,O1Cl1
255.15219,4106397,30.8,255.1521167,3,7.33E-05,15,24,O1Cl1
257.07389,3485739,25.6,257.0738664,9,2.36E-05,16,14,O1Cl1
259.08953,2746805,19.6,259.0895164,8,1.36E-05,16,16,O1Cl1
261.10597,1844633,12.3,261.1051665,7,0.000803521,16,18,O1Cl1
263.1209,1530712,9.8,263.1208165,6,8.35E-05,16,20,O1Cl1
265.13652,1892724,12.6,265.1364666,5,5.34E-05,16,22,O1Cl1
267.15218,3793519,27.8,267.1521167,4,6.33E-05,16,24,O1Cl1
269.07469,1425076,8.8,269.0738664,10,0.000823649,17,14,O1Cl1
269.16784,4252746,31.4,269.1677667,3,7.33E-05,16,26,O1Cl1
271.08953,3953139,29,271.0895164,9,1.36E-05,17,16,O1Cl1
273.10526,3909781,28.5,273.1051665,8,9.35E-05,17,18,O1Cl1
275.12153,2742173,19.2,275.1208165,7,0.000713456,17,20,O1Cl1
277.1365,1900171,12.6,277.1364666,6,3.34E-05,17,22,O1Cl1
279.1521,2652515,18.4,279.1521167,5,1.67E-05,17,24,O1Cl1
281.07389,1688343,10.8,281.0738664,11,2.36E-05,18,14,O1Cl1
281.16781,4993061,36.9,281.1677667,4,4.33E-05,17,26,O1Cl1
283.09028,3990854,28.9,283.0895164,10,0.000763585,18,16,O1Cl1
283.18346,7903060,59.6,283.1834168,3,4.32E-05,17,28,O1Cl1
285.10519,3959651,28.6,285.1051665,9,2.35E-05,18,18,O1Cl1
287.12078,3984496,28.7,287.1208165,8,3.65E-05,18,20,O1Cl1
289.13727,3123310,21.9,289.1364666,7,0.000803392,18,22,O1Cl1
291.15218,2892383,20,291.1521167,6,6.33E-05,18,24,O1Cl1
293.16781,2853701,19.7,293.1677667,5,4.33E-05,18,26,O1Cl1
295.08951,3027991,21.1,295.0895164,11,6.42E-06,19,16,O1Cl1
295.1835,5856033,43.1,295.1834168,4,8.32E-05,18,28,O1Cl1
297.10596,8228332,61.3,297.1051665,10,0.00079352,19,18,O1Cl1
297.19911,10009078,75.1,297.1990669,3,4.31E-05,18,30,O1Cl1
299.1209,3664571,25.9,299.1208165,9,8.35E-05,19,20,O1Cl1
301.13645,3979653,28.2,301.1364666,8,1.66E-05,19,22,O1Cl1
303.15294,3006796,20.7,303.1521167,7,0.000823327,19,24,O1Cl1
305.16789,3418131,23.9,305.1677667,6,0.000123263,19,26,O1Cl1
307.08945,1765776,11.1,307.0895164,12,6.64E-05,20,16,O1Cl1
307.18342,4757978,34,307.1834168,5,3.20E-06,19,28,O1Cl1
309.10518,4076698,28.8,309.1051665,11,1.35E-05,20,18,O1Cl1
309.19909,7819427,57.5,309.1990669,4,2.31E-05,19,30,O1Cl1
311.12161,8389479,61.8,311.1208165,10,0.000793456,20,20,O1Cl1
311.21477,20450160,154.3,311.2147169,3,5.31E-05,19,32,O1Cl1
313.13653,4510010,31.9,313.1364666,9,6.34E-05,20,22,O1Cl1
315.15209,3963412,27.8,315.1521167,8,2.67E-05,20,24,O1Cl1
317.16856,3138552,21.3,317.1677667,7,0.000793263,20,26,O1Cl1
319.09034,1612123,9.8,319.0895164,13,0.000823585,21,16,O1Cl1
319.18354,4591334,32.4,319.1834168,6,0.000123199,20,28,O1Cl1
321.10518,2278101,14.8,321.1051665,12,1.35E-05,21,18,O1Cl1
321.19919,4603361,32.4,321.1990669,5,0.000123134,20,30,O1Cl1
323.12087,2905053,19.4,323.1208165,11,5.35E-05,21,20,O1Cl1
323.21478,10857706,79.2,323.2147169,4,6.31E-05,20,32,O1Cl1
325.13729,8506870,61.6,325.1364666,10,0.000823392,21,22,O1Cl1
325.23046,26055172,193.6,325.230367,3,9.30E-05,20,34,O1Cl1
