,Unnamed: 0,0.5138,0.48382,0.4591,0.42902,0.47892,0.49402,0.42421,0.50394,0.48902,0.4137,0.46898,0.5189,0.4491,0.43906,0.40818,0.41865,0.54515,0.52428,0.53468,0.45396,0.47393,0.50893,0.44399,0.54982,0.53976,0.49902,0.52932,0.43418,0.46401
12368,"1313.98, 1335.97",[[1.26187262]],,,[[1.21172641]],,,[[1.49938409]],,[[1.12111759]],,,,,,,,,[[1.34611192]],[[1.13780386]],[[1.00930384]],,,[[1.13487602]],,,,[[1.25364496]],,[[1.37057144]]
12402,"1314.19, 1316.24",[[6.95881942]],[[6.18741551]],[[5.40502456]],,[[5.13586594]],[[5.18199021]],,[[4.0982528]],[[5.92211431]],,[[5.11953185]],,[[5.35564347]],[[4.6633767]],,,,,,[[4.67190266]],[[5.53928093]],[[5.92500823]],,,,[[5.90119541]],,,[[4.75279559]]
12404,"1314.19, 1317.25",,[[1.74443045]],[[1.88152903]],,,,,[[1.95867968]],[[1.8462834]],,,,[[1.93455257]],[[2.06942224]],,,,,,,[[1.72331685]],,[[1.26426415]],,,[[1.92254148]],,,[[1.46243227]]
12414,"1314.19, 1322.3",,[[3.39068222]],,,[[2.55931441]],[[2.75971812]],,,[[3.21916121]],,[[3.05622979]],,[[2.63451605]],[[2.43570434]],,,,,,[[3.04489807]],[[2.66762671]],,[[1.72695588]],,,[[2.76993788]],,,[[2.8358826]]
12416,"1314.19, 1323.02",,[[-8.45255922]],[[-8.17814951]],,[[-9.44008348]],,,,,,[[-7.61756266]],,[[-11.67016064]],[[-11.79466847]],,,,,,[[-13.30227821]],[[-10.65665281]],[[-6.2613805]],[[-9.88968063]],,,,,,
12417,"1314.19, 1323.3",,[[3.06346341]],[[2.63618536]],,[[2.83612072]],,,[[2.2033211]],[[2.91800373]],,[[2.64301704]],,[[2.79428638]],[[2.16139613]],,,,,,[[2.28862625]],[[2.26865799]],[[2.74534075]],[[1.81318897]],,,[[2.83041291]],,,
12422,"1314.19, 1326.32",[[6.41263431]],[[6.68104404]],[[5.64445816]],,[[5.27763908]],,,[[4.75131132]],[[6.05428159]],,[[5.81358292]],,[[5.75637116]],[[5.24657959]],,,,,,[[5.38599663]],[[5.63578966]],[[5.59841849]],[[4.4274099]],,,[[6.25594522]],,,[[5.43111915]]
12425,"1314.19, 1327.33",,[[1.96046603]],,,,[[1.7281997]],,,[[1.79316735]],,,,[[1.6403269]],[[2.01006684]],,,,,,[[1.89416197]],[[1.549134]],,[[1.43045987]],,,[[1.606196]],,,
12445,"1314.19, 1347.02",,[[-8.36732266]],[[-8.43824129]],,[[-9.11178617]],,,,[[-8.47655775]],,,,[[-10.37824527]],[[-11.40903293]],,,,,,[[-13.64395119]],[[-10.06061405]],,[[-7.67620338]],,,,,,
12695,"1315.19, 1322.3",,,[[3.49094899]],,[[2.67485836]],[[3.21545303]],,,[[2.93339311]],,[[3.04521182]],,,[[2.1125889]],,,,,,[[3.14535387]],[[3.13222658]],[[2.26780154]],,,,[[3.29848602]],,[[3.92469605]],[[2.23148452]]
