,newindices,pixel_x,pixel_y,ccat
R00X137Y072,0.8626119512553223,6.846129399999999,15.8975432,0.473
R00X138Y072,0.3318233334815235,6.857331799999999,16.0389944,0.46
R00X139Y072,0.8044125274462465,6.8685342,16.1804874,0.48
R00X141Y072,0.21322020053164062,6.8909389999999995,16.463431599999996,0.423
R00X142Y072,0.7587755435445471,6.902141399999999,16.6048828,0.46799999999999997
R00X147Y072,0.0759375271147639,6.9581952000000005,17.453339200000002,0.425
R00X153Y072,0.10078383548025238,7.025451399999999,18.3930032,0.434
R00X154Y072,0.8538200413993092,7.036653799999999,18.549627799999996,0.433
R00X155Y072,0.9068450462093897,7.0478562,18.7062524,0.401
R00X157Y072,0.028520766089031646,7.0702609999999995,19.019459799999996,0.45899999999999996
R00X158Y072,0.12274362826554862,7.081463399999999,19.1760844,0.47
R00X162Y072,0.4354317568527198,7.126314799999999,19.8534534,0.451
R00X165Y072,0.006267869104330781,7.159921999999999,20.364207599999997,0.507
R00X167Y072,0.9215514577247363,7.182326799999999,20.7047104,0.41600000000000004
R00X168Y072,0.621934280833203,7.1935292,20.874961799999998,0.43200000000000005
R00X170Y072,0.8212843608270709,7.215933999999999,21.215464599999997,0.409
R00X173Y072,0.8806567244814657,7.2495829999999994,21.726218799999998,0.467
R00X176Y072,0.8655441402093934,7.2831902,22.237014799999997,0.41700000000000004
R00X177Y072,0.002618982990797035,7.294392599999999,22.4072662,0.484
R00X188Y072,0.11605919253947658,7.417702599999999,24.280031599999997,0.48
R00X194Y072,0.9065805024962506,7.484916999999999,25.301539999999996,0.45299999999999996
R00X207Y072,0.09031906631943429,7.630631799999999,27.51485,0.47
R00X209Y072,0.9110719341730072,7.6530366,27.855352800000002,0.5529999999999999
R00X215Y072,0.8577658577835544,7.720292799999999,28.862858199999994,0.46799999999999997
R00X218Y072,0.7796082587533365,7.7539,29.364040199999994,0.539
R00X224Y072,0.9000182197418688,7.8211562,30.3663624,0.47100000000000003
R00X229Y072,0.8646958593057629,7.8771682,31.201651799999997,0.447
R00X231Y072,0.8809068513131508,7.899614799999999,31.535759199999998,0.452
R00X232Y072,0.9126846879732983,7.9108172,31.702792,0.46
R00X234Y072,0.611283611223574,7.933221999999999,32.036899399999996,0.43799999999999994
R00X235Y072,0.8807860537369548,7.944424399999999,32.203973999999995,0.424
R00X237Y072,0.7964652272323332,7.9668292,32.538081399999996,0.43200000000000005
R00X238Y072,0.9175323392473292,7.9780316,32.7051142,0.45299999999999996
R00X239Y072,0.8764546887118041,7.989233999999999,32.872188799999996,0.512
R00X242Y072,0.8994239333719838,8.022883,33.373329,0.512
R00X245Y072,0.10835867780559574,8.056490199999999,33.874511,0.466
R00X247Y072,0.7533390993108025,8.078895,34.2086184,0.46799999999999997
R00X250Y072,0.8850720289672821,8.112544,34.709758599999994,0.521
R00X251Y072,0.2374756307289407,8.123746399999998,34.87683319999999,0.491
R00X260Y072,0.88615265927108,8.2246098,36.441030999999995,0.45
R00X261Y072,0.31056129923819753,8.2358122,36.616047599999995,0.505
R00X262Y072,0.2609408070779811,8.2470146,36.791064199999994,0.503
R00X263Y072,0.14334337195082927,8.258217,36.9660808,0.484
R00X264Y072,0.1593909466231979,8.269419399999999,37.1410974,0.479
R00X266Y072,0.2963937818114992,8.291865999999999,37.49113059999999,0.517
R00X268Y072,0.9246987780871803,8.3142708,37.8411638,0.45
R00X270Y072,0.8572044209371077,8.3366756,38.191196999999995,0.531
R00X271Y072,0.9038196686606801,8.347878,38.366213599999995,0.469
R00X274Y072,0.2521037870925698,8.381526999999998,38.8912634,0.502
R00X283Y072,0.9490195826176386,8.4823904,40.4676668,0.461
R00X289Y072,0.9512568694914715,8.5496048,41.5209432,0.467
R00X293Y072,0.9702577960855095,8.5944562,42.2230996,0.47100000000000003
R00X295Y072,0.9552447425592887,8.616861,42.57421959999999,0.47600000000000003
R00X296Y072,0.930303634435566,8.628063399999998,42.7497378,0.46799999999999997
R00X298Y072,0.935310212746167,8.6504682,43.094211599999994,0.498
R00X300Y072,0.8932379153100783,8.6729148,43.43074339999999,0.508
