,m/z,I,S/N,em,error,C,H,Class
354,278.11862,6001847,43.2,278.1186523391,3.2339099959699524e-05,18,16,O2N1
356,278.1914,9988296,73.5,278.1914233567,2.335670001230028e-05,20,24,N1
360,278.24893,6622422,47.9,278.24893823429994,8.234299968989944e-06,18,32,O1N1
362,279.10267999999996,5748641,41.3,279.10266792289997,1.207709999562212e-05,18,15,O3
363,279.13864,3726249,25.9,279.1390534317,0.00041343169999663587,19,19,O2
365,279.23294,859236800,6534.3,279.2329538181,1.3818100001117273e-05,18,31,O2
368,280.11278,247655056,1881.6,280.11317303469997,0.00039303469998230867,21,14,N1
372,280.26427,37694128,284.3,280.26458829869995,0.00031829869993771354,18,34,O1N1
373,281.08162999999996,4072808,28.5,281.0819324785,0.0003024785000320662,17,13,O4
381,281.11807000000005,19327856,144.6,281.1183179873,0.0002479872999288091,18,17,O3
384,281.17555,4338557,30.6,281.1758328649,0.00028286489998663455,16,25,O4
385,281.21191,8409989,61.5,281.2122183737,0.00030837370002245734,17,29,O3
388,281.24835,23068993536,175496.8,281.2486038825,0.0002538824999760436,18,33,O2
392,282.11334,5000269,35.4,282.11356695909996,0.00022695909996173214,17,16,O3N1
396,282.12863,56360016,424.1,282.1288230991,0.00019309909998810326,21,16,N1
397,282.14973,7375957,53.4,282.1499524679,0.00022246790001645422,18,20,O2N1
405,283.09746,6940963,50.1,283.0975825429,0.00012254289998736567,17,15,O4
406,283.11267999999995,15942950,118.2,283.11283868289996,0.00015868290000753404,21,15,O1
409,283.13383,16745770,124.3,283.1339680517,0.0001380516999915926,18,19,O3
410,283.17021,6982962,50.4,283.1703535605,0.00014356050002106713,19,23,O2
411,283.19135,19856694,147.8,283.1914829293,0.00013292929997987812,16,27,O4
412,283.22774,43912512,329.9,283.2278684381,0.0001284381000346002,17,31,O3
418,283.26408,7943286272,60109.3,283.2642539469,0.00017394690001992785,18,35,O2
420,284.10799,21450234,159.9,284.10808765469994,9.765469997091714e-05,20,14,O1N1
423,284.1444,82865664,624.7,284.1444731635,7.316349996244753e-05,21,18,N1
426,284.2586,11783705,86.7,284.2595029187,0.0009029186999782723,17,34,O2N1
433,285.1132,5534410,39.4,285.1132326073,3.260729999965406e-05,17,17,O4
436,285.12843,13979341,103.3,285.12848874729997,5.874729998822659e-05,21,17,O1
444,285.20706,56291036,423.5,285.2071329937,7.299369997326721e-05,16,29,O4
445,285.24347,6483685,46.6,285.24351850249997,4.850249996479761e-05,17,33,O3
452,286.1237,47357848,355.9,286.12373771909995,3.7719099964306224e-05,20,16,O1N1
455,286.16012,133787552,1010.0,286.1601232279,3.2278999810841924e-06,21,20,N1
458,286.27428,4171701,29.0,286.2751529831,0.0008729831000096056,17,36,O2N1
459,287.07139,7416404,53.4,287.0713677941,2.2205899995242362e-05,19,11,O3
460,287.10773,15399002,113.5,287.1077533029,2.330289999008528e-05,20,15,O2
463,287.12889,4606047,32.2,287.1288826717,7.3283000006085786e-06,17,19,O4
465,287.14415,14809186,109.0,287.1441388117,1.1188300049980171e-05,21,19,O1
471,287.2228,96145520,721.2,287.2227830581,1.69419000144444e-05,16,31,O4
472,288.10297,13156636,96.6,288.1030022747,3.227469994726562e-05,19,14,O2N1
475,288.13944,3054627,20.6,288.13938778349996,5.221650002340539e-05,20,18,O1N1
480,288.17578,3265066,22.1,288.1757732923,6.7076999812343274e-06,21,22,N1
482,289.08702999999997,6239704,44.5,289.0870178585,1.2141499951212609e-05,19,13,O3
483,289.12338,6838238,49.0,289.1234033673,2.3367300002519187e-05,20,17,O2
485,289.14455,2896098,19.4,289.1445327361,1.72638999629271e-05,17,21,O4
486,289.15984,10530277,76.8,289.1597888761,5.112389999339939e-05,21,21,O1
488,289.18088,5809129,41.3,289.1809182449,3.824489999715297e-05,18,25,O3
490,290.08231,2751121,18.3,290.0822668303,4.316970000672882e-05,18,12,O3N1
491,290.09757,33968788,253.2,290.09752297029996,4.702970005610041e-05,22,12,N1
492,290.11865,15411864,113.6,290.1186523391,2.3390999785988242e-06,19,16,O2N1
493,290.1398,2832284,18.9,290.1397817079,1.8292099980499188e-05,16,20,O4N1
494,290.15506,2639006,17.4,290.15503784789996,2.215210002987078e-05,20,20,O1N1
495,290.17624,3522722,24.1,290.1761672167,7.278330002691291e-05,17,24,O3N1
496,290.19141,6929573,49.7,290.1914233567,1.3356699980704434e-05,21,24,N1
498,291.10266,9888587,71.6,291.10266792289997,7.922899953882734e-06,19,15,O3
502,291.19662,8545116,61.5,291.1965683093,5.169069999055864e-05,18,27,O3
506,292.098,4070397,28.0,292.09791689469995,8.310530006383487e-05,18,14,O3N1
507,292.11316,22815744,168.3,292.11317303469997,1.3034699975378317e-05,22,14,N1
508,292.13423,7223812,51.6,292.1343024035,7.240349998482998e-05,19,18,O2N1
510,292.20705,7473681,53.5,292.2070734211,2.3421100024734187e-05,21,26,N1
512,293.08197,3489194,23.7,293.0819324785,3.7521500019011e-05,18,13,O4
515,293.11826,8276656,59.5,293.1183179873,5.7987299953765614e-05,19,17,O3
516,293.15474,2977719,19.9,293.1547034961,3.650389999165782e-05,20,21,O2
517,293.17576,55665852,414.2,293.1758328649,7.28648999483994e-05,17,25,O4
520,293.21226,52053184,387.2,293.2122183737,4.162630000337231e-05,18,29,O3
521,294.07717,4301653,29.8,294.0771814503,1.1450299950865883e-05,17,12,O4N1
523,294.11357000000004,10616155,77.0,294.11356695909996,3.0409000828512944e-06,18,16,O3N1
524,294.12886000000003,298710368,2233.4,294.1288230991,3.690090005648017e-05,22,16,N1
525,294.14994,4505954,31.3,294.1499524679,1.2467899978219066e-05,19,20,O2N1
529,295.09753,6673410,47.5,295.0975825429,5.2542899993568426e-05,18,15,O4
532,295.11287000000004,9059332,65.4,295.11283868289996,3.131710008119626e-05,22,15,O1
535,295.13398,12472839,90.9,295.1339680517,1.1948300027597725e-05,19,19,O3
537,295.17033,3259662,22.0,295.1703535605,2.356050003982091e-05,20,23,O2
538,295.19147999999996,5123601,35.9,295.1914829293,2.9293000238794775e-06,17,27,O4
539,295.2278,719648256,5384.1,295.2278684381,6.843810001555539e-05,18,31,O3
540,295.26425,44529180,330.9,295.2642539469,3.946899994389241e-06,19,35,O2
541,296.07174,2876579,19.0,296.07170214589996,3.7854100014556025e-05,20,10,O2N1
544,296.10808,4549801,31.4,296.10808765469994,7.654699970771617e-06,21,14,O1N1
547,296.12923,3730348,25.3,296.12921702349996,1.2976500045169814e-05,18,18,O3N1
550,296.14452,37246640,274.8,296.1444731635,4.683650001879869e-05,22,18,N1
551,296.16551,6005426,42.3,296.1656025323,9.253230001604607e-05,19,22,O2N1
558,297.11317,6520140,46.1,297.1132326073,6.260729998075476e-05,18,17,O4
559,297.12846,16002894,116.7,297.12848874729997,2.8747299950282468e-05,22,17,O1
562,297.14964,7038290,50.0,297.1496181161,2.1883899989916245e-05,19,21,O3
